Old_Price,New_Price,date_range,Manufacturer,Model,ProdYear,Gear_box_type,Price_variation,Price_change
2262876.0,2180000.0,2020-11-18,Porsche,Cayenne,2020,Automatic,trending_down,82876.0
2078727.0,2262876.0,2019-10-14,Porsche,Cayenne,2020,Automatic,trending_up,184149.0
2388000.0,2295000.0,2020-11-18,Porsche,Cayenne,2020,Automatic,trending_down,93000.0
2262876.0,2388000.0,2019-10-15,Porsche,Cayenne,2020,Automatic,trending_up,125124.0
5600000.0,5250000.0,2020-05-18,Lexus,LX 570,2020,Automatic,trending_down,350000.0
5800000.0,5600000.0,2019-12-15,Lexus,LX 570,2020,Automatic,trending_down,200000.0
5800000.0,5450000.0,2020-05-18,Lexus,LX 570,2020,Automatic,trending_down,350000.0
2830000.0,2650000.0,2020-05-18,Lexus,ES 350,2020,Automatic,trending_down,180000.0
2650000.0,2830000.0,2019-12-18,Lexus,ES 350,2020,Automatic,trending_up,180000.0
5400000.0,5000000.0,2020-05-18,Lexus,LS 500,2020,Automatic,trending_down,400000.0
6150000.0,5700000.0,2020-05-18,Lexus,LS 500,2020,Automatic,trending_down,450000.0
6750000.0,6250000.0,2020-05-18,Lexus,LS 500,2020,Automatic,trending_down,500000.0
2150000.0,2500000.0,2020-05-18,Lexus,ES 350,2020,Automatic,trending_up,350000.0
2650000.0,2150000.0,2020-05-18,Lexus,ES 350,2020,Automatic,trending_down,500000.0
1253000.0,1192000.0,2020-11-11,Porsche,Macan,2020,Automatic,trending_down,61000.0
1825000.0,2050000.0,2020-11-11,Porsche,Macan,2020,Automatic,trending_up,225000.0
1477000.0,1410000.0,2020-11-11,Porsche,Boxster,2020,Manual,trending_down,67000.0
500000.0,570000.0,2022-09-16,Toyota,Corolla,2022,Automatic,trending_up,70000.0
465000.0,500000.0,2022-07-18,Toyota,Corolla,2022,Automatic,trending_up,35000.0
420000.0,465000.0,2022-04-07,Toyota,Corolla,2022,Automatic,trending_up,45000.0
417000.0,420000.0,2022-01-09,Toyota,Corolla,2022,Automatic,trending_up,3000.0
405000.0,417000.0,2021-08-25,Toyota,Corolla,2022,Automatic,trending_up,12000.0
525000.0,600000.0,2022-09-16,Toyota,Corolla,2022,Automatic,trending_up,75000.0
490000.0,525000.0,2022-07-18,Toyota,Corolla,2022,Automatic,trending_up,35000.0
457000.0,490000.0,2022-04-07,Toyota,Corolla,2022,Automatic,trending_up,33000.0
445000.0,457000.0,2021-08-25,Toyota,Corolla,2022,Automatic,trending_up,12000.0
534000.0,634000.0,2022-09-16,Toyota,Corolla,2022,Automatic,trending_up,100000.0
499000.0,534000.0,2022-07-18,Toyota,Corolla,2022,Automatic,trending_up,35000.0
472000.0,499000.0,2022-04-07,Toyota,Corolla,2022,Automatic,trending_up,27000.0
