Month/Year,Average_Price,Minimum_Price,Maximum_price,Manufacturer,Model,ProdYear
2023-03,967000.0,926000.0,1017000.0,Skoda,Octavia A8,2022
2023-02,979000.0,931000.0,1045000.0,Skoda,Octavia A8,2022
2023-01,917000.0,893000.0,950000.0,Skoda,Octavia A8,2022
2022-12,881000.0,793000.0,950000.0,Skoda,Octavia A8,2022
2022-11,868000.0,789000.0,950000.0,Skoda,Octavia A8,2022
2022-10,797000.0,789000.0,808000.0,Skoda,Octavia A8,2022
2022-09,837000.0,770000.0,874000.0,Skoda,Octavia A8,2022
2022-08,779000.0,722000.0,855000.0,Skoda,Octavia A8,2022
2022-07,675000.0,608000.0,722000.0,Skoda,Octavia A8,2022
2022-06,612000.0,580000.0,665000.0,Skoda,Octavia A8,2022
2023-03,960000.0,903000.0,998000.0,Seat,Ateca,2021
2023-02,964000.0,931000.0,998000.0,Seat,Ateca,2021
2023-01,861000.0,817000.0,950000.0,Seat,Ateca,2021
2022-12,868000.0,817000.0,903000.0,Seat,Ateca,2021
2022-11,888000.0,879000.0,903000.0,Seat,Ateca,2021
2022-10,858000.0,827000.0,879000.0,Seat,Ateca,2021
2022-09,751000.0,689000.0,793000.0,Seat,Ateca,2021
2022-03,517000.0,504000.0,527000.0,Seat,Ateca,2021
2023-03,960000.0,903000.0,1026000.0,Jeep,Grand Cherokee,2015
2023-02,920000.0,903000.0,950000.0,Jeep,Grand Cherokee,2015
2023-01,912000.0,903000.0,922000.0,Jeep,Grand Cherokee,2015
2022-12,936000.0,903000.0,998000.0,Jeep,Grand Cherokee,2015
2022-11,942000.0,903000.0,998000.0,Jeep,Grand Cherokee,2015
2022-10,885000.0,846000.0,926000.0,Jeep,Grand Cherokee,2015
2022-09,735000.0,675000.0,808000.0,Jeep,Grand Cherokee,2015
2022-08,692000.0,656000.0,751000.0,Jeep,Grand Cherokee,2015
2022-07,693000.0,665000.0,736000.0,Jeep,Grand Cherokee,2015
2022-06,638000.0,627000.0,660000.0,Jeep,Grand Cherokee,2015
2022-05,633000.0,627000.0,641000.0,Jeep,Grand Cherokee,2015
2022-03,593000.0,570000.0,618000.0,Jeep,Grand Cherokee,2015
2022-02,602000.0,570000.0,618000.0,Jeep,Grand Cherokee,2015
2022-01,606000.0,589000.0,618000.0,Jeep,Grand Cherokee,2015
2021-12,593000.0,570000.0,618000.0,Jeep,Grand Cherokee,2015
