web-scraper-order,Car Model,Month/Year,Average price,Minimum price,Maximum price
1680204632-1,Skoda Octavia A8 2022,2023-03,"967,000 EGP","926,000 EGP","1,017,000 EGP"
1680204632-2,Skoda Octavia A8 2022,2023-02,"979,000 EGP","931,000 EGP","1,045,000 EGP"
1680204632-3,Skoda Octavia A8 2022,2023-01,"917,000 EGP","893,000 EGP","950,000 EGP"
1680204632-4,Skoda Octavia A8 2022,2022-12,"881,000 EGP","793,000 EGP","950,000 EGP"
1680204632-5,Skoda Octavia A8 2022,2022-11,"868,000 EGP","789,000 EGP","950,000 EGP"
1680204632-6,Skoda Octavia A8 2022,2022-10,"797,000 EGP","789,000 EGP","808,000 EGP"
1680204632-7,Skoda Octavia A8 2022,2022-09,"837,000 EGP","770,000 EGP","874,000 EGP"
1680204632-8,Skoda Octavia A8 2022,2022-08,"779,000 EGP","722,000 EGP","855,000 EGP"
1680204632-9,Skoda Octavia A8 2022,2022-07,"675,000 EGP","608,000 EGP","722,000 EGP"
1680204632-10,Skoda Octavia A8 2022,2022-06,"612,000 EGP","580,000 EGP","665,000 EGP"
1680204632-11,Seat Ateca 2021,2023-03,"960,000 EGP","903,000 EGP","998,000 EGP"
1680204632-12,Seat Ateca 2021,2023-02,"964,000 EGP","931,000 EGP","998,000 EGP"
1680204632-13,Seat Ateca 2021,2023-01,"861,000 EGP","817,000 EGP","950,000 EGP"
1680204632-14,Seat Ateca 2021,2022-12,"868,000 EGP","817,000 EGP","903,000 EGP"
1680204632-15,Seat Ateca 2021,2022-11,"888,000 EGP","879,000 EGP","903,000 EGP"
1680204632-16,Seat Ateca 2021,2022-10,"858,000 EGP","827,000 EGP","879,000 EGP"
1680204632-17,Seat Ateca 2021,2022-09,"751,000 EGP","689,000 EGP","793,000 EGP"
1680204632-18,Seat Ateca 2021,2022-03,"517,000 EGP","504,000 EGP","527,000 EGP"
1680204632-19,Jeep Grand Cherokee 2015,2023-03,"960,000 EGP","903,000 EGP","1,026,000 EGP"
1680204632-20,Jeep Grand Cherokee 2015,2023-02,"920,000 EGP","903,000 EGP","950,000 EGP"
1680204632-21,Jeep Grand Cherokee 2015,2023-01,"912,000 EGP","903,000 EGP","922,000 EGP"
1680204632-22,Jeep Grand Cherokee 2015,2022-12,"936,000 EGP","903,000 EGP","998,000 EGP"
1680204632-23,Jeep Grand Cherokee 2015,2022-11,"942,000 EGP","903,000 EGP","998,000 EGP"
1680204632-24,Jeep Grand Cherokee 2015,2022-10,"885,000 EGP","846,000 EGP","926,000 EGP"
1680204632-25,Jeep Grand Cherokee 2015,2022-09,"735,000 EGP","675,000 EGP","808,000 EGP"
1680204632-26,Jeep Grand Cherokee 2015,2022-08,"692,000 EGP","656,000 EGP","751,000 EGP"
1680204632-27,Jeep Grand Cherokee 2015,2022-07,"693,000 EGP","665,000 EGP","736,000 EGP"
1680204632-28,Jeep Grand Cherokee 2015,2022-06,"638,000 EGP","627,000 EGP","660,000 EGP"
1680204632-29,Jeep Grand Cherokee 2015,2022-05,"633,000 EGP","627,000 EGP","641,000 EGP"
1680204632-30,Jeep Grand Cherokee 2015,2022-03,"593,000 EGP","570,000 EGP","618,000 EGP"
1680204632-31,Jeep Grand Cherokee 2015,2022-02,"602,000 EGP","570,000 EGP","618,000 EGP"
1680204632-32,Jeep Grand Cherokee 2015,2022-01,"606,000 EGP","589,000 EGP","618,000 EGP"
1680204632-33,Jeep Grand Cherokee 2015,2021-12,"593,000 EGP","570,000 EGP","618,000 EGP"
1680204632-34,Jeep Grand Cherokee 2015,2021-11,"596,000 EGP","580,000 EGP","618,000 EGP"
1680204632-35,Jeep Grand Cherokee 2015,2021-10,"602,000 EGP","580,000 EGP","618,000 EGP"
1680204632-36,Jeep Grand Cherokee 2015,2021-09,"593,000 EGP","570,000 EGP","618,000 EGP"
1680204632-37,Jeep Grand Cherokee 2015,2021-08,"577,000 EGP","551,000 EGP","599,000 EGP"
1680204632-38,Jeep Grand Cherokee 2015,2021-07,"566,000 EGP","532,000 EGP","589,000 EGP"
1680204632-39,Jeep Grand Cherokee 2015,2021-06,"585,000 EGP","570,000 EGP","603,000 EGP"
1680204632-40,Jeep Grand Cherokee 2015,2021-05,"581,000 EGP","532,000 EGP","603,000 EGP"
1680204632-41,Jeep Grand Cherokee 2015,2021-04,"600,000 EGP","570,000 EGP","622,000 EGP"
1680204632-42,Jeep Grand Cherokee 2015,2021-02,"621,000 EGP","570,000 EGP","656,000 EGP"
1680204632-43,Jeep Grand Cherokee 2015,2021-01,"608,000 EGP","561,000 EGP","637,000 EGP"
1680204632-44,Jeep Grand Cherokee 2015,2020-12,"591,000 EGP","561,000 EGP","618,000 EGP"
1680204632-45,Jeep Grand Cherokee 2015,2020-11,"580,000 EGP","532,000 EGP","618,000 EGP"
1680204632-46,Jeep Grand Cherokee 2015,2020-06,"600,000 EGP","570,000 EGP","637,000 EGP"
1680204632-47,Jeep Grand Cherokee 2015,2020-05,"611,000 EGP","570,000 EGP","665,000 EGP"
1680204632-48,Jeep Grand Cherokee 2015,2020-04,"611,000 EGP","570,000 EGP","665,000 EGP"
1680204632-49,Jeep Grand Cherokee 2015,2020-03,"640,000 EGP","613,000 EGP","684,000 EGP"
1680204632-50,Jeep Grand Cherokee 2015,2020-01,"643,000 EGP","613,000 EGP","684,000 EGP"
1680204632-51,Jeep Grand Cherokee 2015,2019-12,"685,000 EGP","637,000 EGP","713,000 EGP"
1680204632-52,Jeep Grand Cherokee 2015,2019-11,"707,000 EGP","684,000 EGP","713,000 EGP"
1680204632-53,Jeep Grand Cherokee 2015,2019-10,"729,000 EGP","713,000 EGP","784,000 EGP"
1680204632-54,Jeep Grand Cherokee 2015,2019-09,"755,000 EGP","713,000 EGP","808,000 EGP"
1680204632-55,Jeep Grand Cherokee 2015,2019-06,"775,000 EGP","760,000 EGP","817,000 EGP"
1680204632-56,Jeep Grand Cherokee 2015,2019-05,"797,000 EGP","760,000 EGP","817,000 EGP"
1680204632-57,Jeep Grand Cherokee 2015,2019-04,"804,000 EGP","760,000 EGP","836,000 EGP"
1680204632-58,Jeep Grand Cherokee 2015,2019-03,"818,000 EGP","798,000 EGP","855,000 EGP"
1680204632-59,Jeep Grand Cherokee 2015,2019-02,"812,000 EGP","798,000 EGP","836,000 EGP"
1680204632-60,Jeep Grand Cherokee 2015,2019-01,"825,000 EGP","808,000 EGP","855,000 EGP"
1680204632-61,Jeep Grand Cherokee 2015,2018-12,"878,000 EGP","855,000 EGP","903,000 EGP"
1680204632-62,Jeep Grand Cherokee 2015,2018-11,"873,000 EGP","841,000 EGP","903,000 EGP"
1680204632-63,Jeep Grand Cherokee 2015,2018-08,"932,000 EGP","903,000 EGP","950,000 EGP"
1680204632-64,Jeep Grand Cherokee 2015,2018-06,"927,000 EGP","900,000 EGP","1,000,000 EGP"
1680204632-65,Jeep Grand Cherokee 2015,2018-05,"940,000 EGP","915,000 EGP","1,050,000 EGP"
1680204632-66,Jeep Grand Cherokee 2015,2018-04,"963,000 EGP","920,000 EGP","1,050,000 EGP"
1680204632-67,Jeep Grand Cherokee 2015,2018-03,"963,000 EGP","920,000 EGP","1,025,000 EGP"
1680204632-68,Jeep Grand Cherokee 2015,2018-02,"952,000 EGP","900,000 EGP","980,000 EGP"
1680204632-69,Jeep Grand Cherokee 2015,2018-01,"976,000 EGP","940,000 EGP","1,000,000 EGP"
1680204632-70,Jeep Grand Cherokee 2015,2017-12,"991,000 EGP","975,000 EGP","1,000,050 EGP"
1680204632-71,Jeep Grand Cherokee 2015,2017-11,"969,000 EGP","950,000 EGP","980,000 EGP"
1680204632-72,Jeep Grand Cherokee 2015,2017-08,"1,074,000 EGP","1,000,000 EGP","1,120,000 EGP"
1680204632-73,Jeep Grand Cherokee 2015,2017-06,"1,070,000 EGP","1,050,000 EGP","1,100,000 EGP"
1680204632-74,Jeep Grand Cherokee 2015,2017-04,"1,040,000 EGP","980,000 EGP","1,100,000 EGP"
1680204632-75,Jeep Grand Cherokee 2015,2016-05,"642,000 EGP","615,000 EGP","650,000 EGP"
1680204632-76,Jeep Grand Cherokee 2015,2016-04,"645,000 EGP","640,000 EGP","650,000 EGP"
1680204632-77,Mitsubishi Pajero 2015,2023-03,"957,000 EGP","903,000 EGP","1,017,000 EGP"
1680204632-78,Mitsubishi Pajero 2015,2023-02,"957,000 EGP","903,000 EGP","1,017,000 EGP"
1680204632-79,Mitsubishi Pajero 2015,2023-01,"943,000 EGP","903,000 EGP","998,000 EGP"
1680204632-80,Mitsubishi Pajero 2015,2022-12,"907,000 EGP","808,000 EGP","998,000 EGP"
1680204632-81,Mitsubishi Pajero 2015,2022-11,"888,000 EGP","808,000 EGP","931,000 EGP"
1680204632-82,Mitsubishi Pajero 2015,2022-10,"861,000 EGP","746,000 EGP","912,000 EGP"
1680204632-83,Mitsubishi Pajero 2015,2022-09,"865,000 EGP","784,000 EGP","912,000 EGP"
1680204632-84,Mitsubishi Pajero 2015,2022-01,"591,000 EGP","570,000 EGP","618,000 EGP"
1680204632-85,Mitsubishi Pajero 2015,2021-12,"591,000 EGP","570,000 EGP","618,000 EGP"
1680204632-86,Mitsubishi Pajero 2015,2021-11,"591,000 EGP","570,000 EGP","618,000 EGP"
1680204632-87,Mitsubishi Pajero 2015,2021-05,"568,000 EGP","546,000 EGP","594,000 EGP"
1680204632-88,Mitsubishi Pajero 2015,2021-04,"583,000 EGP","551,000 EGP","599,000 EGP"
1680204632-89,Mitsubishi Pajero 2015,2021-02,"633,000 EGP","599,000 EGP","675,000 EGP"
1680204632-90,Mitsubishi Pajero 2015,2021-01,"634,000 EGP","599,000 EGP","675,000 EGP"
1680204632-91,Mitsubishi Pajero 2015,2020-01,"691,000 EGP","618,000 EGP","779,000 EGP"
1680204632-92,Mitsubishi Pajero 2015,2019-12,"718,000 EGP","646,000 EGP","779,000 EGP"
